ID Produto,Qualidade,Temperatura ar [K],Temperatura processo [K],Velocidade rotação [rpm],Torque [Nm],Desgaste [min],Falha,Tipo falha
M18884,Média,302.1,311.0,1351.0,60.3,207.0,1.0,Sobrecarga
B47496,Baixa,297.8,308.4,1714.0,33.2,177.0,0.0,Sem falha
A34357,Alta,303.6,312.6,1436.0,42.0,110.0,0.0,Sem falha
M15953,Média,296.8,307.5,1443.0,39.2,13.0,0.0,Sem falha
M24334,Média,298.7,309.6,1455.0,46.8,162.0,0.0,Sem falha
B48211,Baixa,296.4,307.5,1549.0,36.1,58.0,0.0,Sem falha
B50454,Baixa,301.3,310.0,1665.0,31.4,0.0,0.0,Sem falha
M19352,Média,302.6,310.5,1420.0,56.4,57.0,0.0,Sem falha
B54520,Baixa,299.7,310.3,1386.0,46.6,2.0,0.0,Sem falha
B55117,Baixa,300.8,311.7,1578.0,31.4,219.0,0.0,Sem falha
M19182,Média,301.7,310.1,1431.0,44.0,61.0,0.0,Sem falha
A30273,Alta,296.2,307.0,1542.0,40.6,28.0,0.0,Sem falha
B51601,Baixa,302.6,310.2,1325.0,62.4,92.0,1.0,Superaquecimento
B53146,Baixa,300.4,310.8,1396.0,49.3,142.0,0.0,Sem falha
B50995,Baixa,302.2,310.7,1769.0,24.9,91.0,0.0,Sem falha
M21064,Média,300.9,310.8,1519.0,34.9,73.0,0.0,Sem falha
A30996,Alta,298.1,308.3,1530.0,42.0,184.0,0.0,Sem falha
B48208,Baixa,296.3,307.4,1472.0,39.9,51.0,0.0,Sem falha
A37181,Alta,300.2,311.4,1319.0,54.6,15.0,0.0,Sem falha
B56736,Baixa,299.5,310.8,1374.0,48.3,154.0,0.0,Sem falha
B54053,Baixa,301.0,311.4,1478.0,39.5,75.0,0.0,Sem falha
B55459,Baixa,298.8,310.6,1803.0,25.4,209.0,0.0,Sem falha
M18671,Média,302.1,310.7,1608.0,30.3,81.0,0.0,Sem falha
B53956,Baixa,301.3,310.6,1451.0,47.5,42.0,0.0,Sem falha
B49985,Baixa,300.0,309.4,1460.0,43.5,102.0,0.0,Sem falha
A31383,Alta,297.8,307.5,1631.0,31.3,124.0,0.0,Sem falha
B51344,Baixa,302.2,310.6,1346.0,47.5,109.0,1.0,Superaquecimento
M15521,Média,297.6,309.0,1427.0,45.6,179.0,0.0,Sem falha
M17891,Média,300.5,309.7,1389.0,43.3,9.0,0.0,Sem falha
B55218,Baixa,300.7,311.8,1486.0,47.3,19.0,0.0,Sem falha
B55929,Baixa,297.2,308.4,1677.0,26.4,146.0,0.0,Sem falha
B53349,Baixa,300.7,310.5,1448.0,38.2,218.0,0.0,Sem falha
M20111,Média,303.4,312.9,1307.0,54.3,68.0,0.0,Sem falha
M24050,Média,298.0,309.0,1439.0,38.5,34.0,0.0,Sem falha
B52861,Baixa,302.2,311.6,1383.0,44.3,72.0,0.0,Sem falha
A35117,Alta,302.3,311.7,1456.0,45.4,130.0,0.0,Sem falha
M19626,Média,303.6,312.0,1645.0,35.7,81.0,0.0,Sem falha
B54386,Baixa,299.8,309.7,1457.0,51.9,89.0,0.0,Sem falha
M16918,Média,299.5,309.3,1902.0,24.0,151.0,0.0,Sem falha
M23714,Média,297.7,309.0,1433.0,41.8,16.0,0.0,Sem falha
B53057,Baixa,301.5,311.1,1458.0,41.4,123.0,0.0,Sem falha
M21756,Média,301.0,311.6,1454.0,40.0,140.0,0.0,Sem falha
B49926,Baixa,299.7,309.2,1411.0,46.1,173.0,0.0,Sem falha
B55391,Baixa,299.2,310.6,1675.0,33.3,28.0,0.0,Sem falha
B52745,Baixa,302.4,311.9,1671.0,29.9,204.0,0.0,Sem falha
A38822,Alta,297.9,308.4,1637.0,34.5,191.0,0.0,Sem falha
M19495,Média,303.0,311.2,1614.0,35.7,207.0,0.0,Sem falha
B48403,Baixa,297.0,308.3,1492.0,48.1,137.0,0.0,Sem falha
B53989,Baixa,300.9,310.8,1490.0,38.1,125.0,0.0,Sem falha
M23672,Média,297.2,308.4,1378.0,41.9,97.0,0.0,Sem falha
M17788,Média,300.8,309.7,1258.0,54.9,168.0,0.0,Sem falha
M19488,Média,303.0,311.1,1597.0,36.7,191.0,0.0,Sem falha
M21740,Média,300.9,311.3,1801.0,24.6,100.0,0.0,Sem falha
A37209,Alta,300.1,311.6,1674.0,29.6,85.0,0.0,Sem falha
M15963,Média,296.7,307.4,1540.0,38.7,45.0,0.0,Sem falha
B53336,Baixa,301.1,311.1,1508.0,41.5,184.0,0.0,Sem falha
B54525,Baixa,299.6,310.2,1381.0,60.5,13.0,0.0,Sem falha
M24623,Média,298.6,309.6,1635.0,29.7,9.0,0.0,Sem falha
B49019,Baixa,297.7,307.1,1715.0,30.2,0.0,0.0,Sem falha
B47259,Baixa,298.8,308.9,1402.0,37.9,2.0,0.0,Sem falha
B49723,Baixa,299.3,309.0,1786.0,23.5,100.0,0.0,Sem falha
A30863,Alta,299.0,310.4,1677.0,30.8,73.0,0.0,Sem falha
