ID Produto,Qualidade,Temperatura ar [K],Temperatura processo [K],Velocidade rotação [rpm],Torque [Nm],Desgaste [min],Falha,Tipo falha
B57099,Baixa,298.5,308.8,1305.0,58.7,26.0,0.0,Sem falha
B50640,Baixa,301.5,310.3,1415.0,41.6,28.0,0.0,Sem falha
B55178,Baixa,300.9,312.1,1359.0,51.7,146.0,0.0,Sem falha
B51337,Baixa,302.0,310.5,1263.0,60.6,90.0,1.0,Superaquecimento
B56278,Baixa,297.3,308.1,1468.0,49.8,0.0,0.0,Sem falha
B55081,Baixa,300.8,312.4,1365.0,44.5,129.0,0.0,Sem falha
A33987,Alta,302.8,311.0,1436.0,43.5,47.0,0.0,Sem falha
B50548,Baixa,301.5,310.8,1350.0,58.5,13.0,0.0,Sem falha
A30096,Alta,297.8,309.0,1410.0,48.8,23.0,0.0,Sem falha
B55606,Baixa,299.1,310.5,1628.0,35.9,174.0,0.0,Sem falha
B47692,Baixa,297.5,309.2,1426.0,44.8,24.0,0.0,Sem falha
M16584,Média,298.3,307.8,1457.0,52.5,98.0,0.0,Sem falha
M22923,Média,300.3,311.7,1551.0,36.4,84.0,0.0,Sem falha
B51888,Baixa,303.4,311.7,1793.0,25.8,161.0,0.0,Sem falha
B55906,Baixa,297.2,308.6,1562.0,33.0,84.0,0.0,Sem falha
B51939,Baixa,303.5,311.6,1361.0,46.5,62.0,1.0,Superaquecimento
B54791,Baixa,300.5,311.4,1611.0,32.7,44.0,0.0,Sem falha
M22451,Média,300.5,311.1,1296.0,61.3,202.0,1.0,Sobrecarga
M24701,Média,298.3,309.2,1359.0,51.4,21.0,0.0,Sem falha
B47391,Baixa,298.5,308.7,1575.0,33.9,128.0,0.0,Sem falha
B54407,Baixa,299.7,309.6,1720.0,27.1,146.0,0.0,Sem falha
B55438,Baixa,299.1,310.6,1602.0,39.7,144.0,0.0,Sem falha
B52080,Baixa,303.6,312.4,1388.0,41.9,221.0,0.0,Sem falha
M16352,Média,298.0,308.7,1479.0,58.5,176.0,1.0,Falha por potência
A33139,Alta,302.3,311.1,1543.0,37.5,73.0,0.0,Sem falha
M22466,Média,300.4,311.3,1350.0,56.5,31.0,0.0,Sem falha
M15775,Média,295.4,305.8,1526.0,38.2,181.0,0.0,Sem falha
B48199,Baixa,296.3,307.3,1398.0,52.7,31.0,0.0,Sem falha
B52614,Baixa,302.9,312.5,1629.0,30.4,74.0,0.0,Sem falha
B52010,Baixa,303.5,312.0,1756.0,29.7,28.0,0.0,Sem falha
A32675,Alta,301.3,310.1,1469.0,39.7,179.0,0.0,Sem falha
M17151,Média,299.5,308.8,1886.0,20.9,117.0,0.0,Sem falha
B50508,Baixa,301.6,310.6,1418.0,43.9,129.0,0.0,Sem falha
M17033,Média,299.5,309.2,1495.0,41.6,17.0,0.0,Sem falha
B54523,Baixa,299.6,310.2,1468.0,48.0,9.0,0.0,Sem falha
M21705,Média,301.3,311.5,1648.0,32.4,0.0,0.0,Sem falha
M19384,Média,302.5,310.5,1527.0,38.8,136.0,0.0,Sem falha
B52914,Baixa,302.3,311.8,1369.0,56.2,208.0,1.0,Sobrecarga
B49279,Baixa,299.4,309.3,1596.0,31.8,40.0,0.0,Sem falha
B53556,Baixa,300.0,309.6,1694.0,28.7,94.0,0.0,Sem falha
B50478,Baixa,301.2,310.3,1499.0,38.1,61.0,0.0,Sem falha
B48855,Baixa,298.0,307.7,1407.0,43.9,205.0,0.0,Sem falha
M16252,Média,299.0,310.3,1494.0,46.6,144.0,0.0,Sem falha
B52098,Baixa,303.3,312.2,1457.0,40.7,48.0,0.0,Sem falha
M21522,Média,301.3,310.4,2093.0,18.7,190.0,0.0,Sem falha
B50748,Baixa,301.8,310.6,1372.0,54.7,95.0,0.0,Sem falha
B49236,Baixa,299.5,309.3,1333.0,54.1,147.0,0.0,Sem falha
M23191,Média,298.8,309.7,1392.0,48.7,133.0,0.0,Sem falha
M18293,Média,301.6,310.6,1924.0,23.6,181.0,0.0,Sem falha
M20627,Média,301.6,311.2,1415.0,46.5,82.0,0.0,Sem falha
A39018,Alta,299.0,310.2,1637.0,38.0,68.0,0.0,Sem falha
B52324,Baixa,304.4,313.7,1607.0,33.5,5.0,0.0,Sem falha
M18097,Média,300.9,309.5,1758.0,26.8,116.0,0.0,Sem falha
M15742,Média,295.7,306.2,1739.0,25.9,94.0,0.0,Sem falha
B55778,Baixa,297.6,308.3,1478.0,42.3,193.0,0.0,Sem falha
B50619,Baixa,301.4,310.3,1492.0,41.4,195.0,0.0,Sem falha
M20034,Média,304.2,313.5,1390.0,47.8,83.0,0.0,Sem falha
M16151,Média,298.6,309.7,1675.0,28.4,115.0,0.0,Sem falha
M16796,Média,298.1,308.0,2129.0,18.4,45.0,0.0,Sem falha
B50558,Baixa,301.5,310.7,1568.0,33.1,38.0,0.0,Sem falha
A34913,Alta,302.9,312.3,1417.0,48.7,26.0,0.0,Sem falha
B50433,Baixa,301.1,309.6,1502.0,48.9,160.0,0.0,Sem falha
M16764,Média,298.0,307.6,1569.0,35.6,173.0,0.0,Sem falha
B50760,Baixa,301.8,310.6,1650.0,31.9,126.0,0.0,Sem falha
B51095,Baixa,302.5,311.5,1700.0,29.5,133.0,0.0,Sem falha
B49866,Baixa,299.8,309.4,1633.0,27.5,29.0,0.0,Sem falha
B56095,Baixa,297.1,308.3,1403.0,54.1,179.0,0.0,Sem falha
A37958,Alta,298.5,309.4,2011.0,21.0,59.0,0.0,Sem falha
M16340,Média,298.2,309.3,2056.0,18.7,144.0,0.0,Sem falha
A37338,Alta,300.7,311.9,1389.0,46.5,186.0,0.0,Sem falha
B53663,Baixa,300.7,309.9,1412.0,45.3,155.0,0.0,Sem falha
B54783,Baixa,300.4,311.2,1406.0,43.6,22.0,0.0,Sem falha
B48706,Baixa,298.1,309.0,1787.0,27.6,47.0,0.0,Sem falha
A39334,Alta,298.5,308.7,1450.0,43.9,28.0,0.0,Sem falha
